statement_id,statement_text,mean_x,mean_y,closest_theme,distance,raw_quadrant,theme_quadrant,quadrant_match
695cd203abb3cc6a95472da1,"Activate a mechanism to check compliance with procedures,  processes, the accuracy of data.",4.0,5.0,Show how work will change,0.7825513537878473,high-high,low-high,False
695c9f3dd3532ccd05f0f166,Invest heavily in security systems,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c9fc800ae14b00cbc8dc1,Let employees (and middle managers) know that new technology wil not cost them their jobs.,7.0,7.0,Make the goal concrete,2.98939810069762,high-high,high-high,True
695ca03ede38cce0ddc2a03b,"Invest in infrastructure, software licenses, personnel training.",7.0,6.0,Make the goal concrete,2.354565276217365,high-high,high-high,True
695ca1380d03a9f4ab4f3667,Two KPIs will be established after implementing the technology; which one will be used for evaluation?,4.0,5.0,Show how work will change,0.7825513537878473,high-high,low-high,False
695c28d6a203a012babb6234,Self Learning Process,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c28e8d6fc39a4c98a14c9,Create Working System,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c2903e88bf14c30ea00b4,Improve Communication Through other department,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c29534847f0ce87dedcf8,Team Sharing Session,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c02e9c431c7feaeffe2ec,Break down strategic goals into departmental goals,5.0,7.0,Coordinate across teams and unblock,2.0609340066076443,high-high,low-high,False
695c034d99528b121cd05c16,"Set specific, measurable requirements for digitalization projects based on departmental goals",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695c03cb6ff1bc0ae7776f0b,"Creat fit/gap tables, regularly update processing status to department members",6.0,4.0,Handle emotions and risk,1.1036488539728613,high-high,high-high,True
695c0412a542d298697f2a4c,Commit to provide appropriate resources for digitalization.,5.0,5.0,Make the goal concrete,0.19825423771585454,high-high,high-high,True
695c04a7f824e832f47d8a7b,Commit to being ready to adapt to effectively implement tobe processes.,3.0,7.0,Coordinate across teams and unblock,0.9806807298389988,low-high,low-high,True
695bfeb049bdce1800054d79,"Communicate the company's digital transformation goals, roadmap,  plans to everyone.",7.0,3.0,Handle emotions and risk,2.4071377150708035,high-low,high-high,False
695bfeded0fac90608a86445,Focus on preparing appropriate resources for substantive changes in company operations after digitalization.,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695bfef8ec9a2540846c0bee,"Create the best possible environment for digitalization implementation: training, documentation, procedures, regulations, etc.",4.0,5.0,Show how work will change,0.7825513537878473,high-high,low-high,False
695bff1ac48631b3adca4af6,"Closely manage changes in personnel, processes, organization.",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
695be1778fa01f99647c37c0,"Analyze top manager objectives into specific departmental requirements, focusing on meeting industry specifics, market demands.",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
695be2deb254a16120c3de01,To combines improvement ideas from department members based on practical experience to achieve department goals.,4.0,6.0,Coordinate across teams and unblock,0.822204602372953,high-high,low-high,False
695be328d1a9b6435b4f2a75,"Monitor, update to members on the progress of the digitization process throughout.",5.0,4.0,Handle emotions and risk,0.2203389830508477,high-high,high-high,True
695be3447020dda6c146ce7a,"Communicate the company's digital transformation roadmap to employees, partners.",6.0,3.0,Handle emotions and risk,1.6201297645227557,high-low,high-high,False
695be4b6f3b60da0c67d717f,Regularly update the requirements to suit the global market context.,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695bda9080026e99c603ec55,"Clarify the digital transformation goals of Top managers to department members, focusing on goals related to Production.",6.0,7.0,Make the goal concrete,2.4249590178185274,high-high,high-high,True
695bdaa4bc7af36c6f124d25,"Set specific, measurable requirements for each milestone in the digital transformation roadmap, aligning them with the overall goal.",7.0,6.0,Make the goal concrete,2.354565276217365,high-high,high-high,True
695bdab29c08a22c055703fa,Establish a commitment to achieving the common goals of all departments.,6.0,4.0,Handle emotions and risk,1.1036488539728613,high-high,high-high,True
695bdad5646924b3fb0f579d,"Assigning the right personnel to participate in the digital transformation project: considering their capabilities, responsibilities, passion,  time availability.",4.0,6.0,Coordinate across teams and unblock,0.822204602372953,high-high,low-high,False
695ba2641f6444a89c7ee4d7,"The different departments must be interconnected, share data with each other.",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695ba2880c7a0a2e2f75ff9d,The software that is currently in use cannot be replaced then must be migrated.,7.0,7.0,Make the goal concrete,2.98939810069762,high-high,high-high,True
695ba3130c7a0a2e2f75ffcf,"Our team has expertise in data, AI, cloud computing.",5.0,5.0,Make the goal concrete,0.19825423771585454,high-high,high-high,True
695ba34374783d560393fa49,Data used for digital transformation must be comprehensively collected to avoid any inaccuracies.,6.0,7.0,Make the goal concrete,2.4249590178185274,high-high,high-high,True
695ba3616bd18b710133e15b,Commitment from leadership,7.0,7.0,Make the goal concrete,2.98939810069762,high-high,high-high,True
695bbca56d2358b3faf16fc7,Statement 3,6.0,7.0,Make the goal concrete,2.4249590178185274,high-high,high-high,True
695bbca97b62cf98f1ebacd4,Statement 4,3.0,5.0,Coordinate across teams and unblock,1.0509956406830112,low-high,low-high,True
